Date,Open,High,Low,Close,Volume
2022-03-25,171.10747947713025,172.48515040066314,169.99549257889427,171.93408203125,80546200
2022-03-28,169.42471770580778,172.92795048627315,169.25743018713217,172.80003356933594,90371900
2022-03-29,173.8726518827145,176.15565130084448,173.52822668291532,176.10646057128906,100589400
2022-03-30,175.7029863422026,176.7460820205957,173.88247896845155,174.9354248046875,92633200
2022-03-31,175.00432947989117,175.19130232369773,171.61917803441048,171.82583618164062,103049300
2022-04-01,171.2550901913017,172.09154294623926,169.19841884811066,171.53062438964844,78751300
2022-04-04,171.78648438629216,175.64397809076996,171.6585524344424,175.5947723388672,76468400
2022-04-05,174.66971162579236,175.45695839959683,171.63882130670936,172.26861572265625,73401800
2022-04-06,169.6116814961237,170.86143526379934,167.41724355380708,169.0901336669922,89058800
2022-04-07,168.4308330803216,170.59575076458447,167.14172361896223,169.39520263671875,77594700
2022-04-08,169.04092358061774,169.04092358061774,166.50206052636017,167.37786865234375,76575500
2022-04-11,166.0198950514866,166.33478478538393,162.8610724769926,163.10708618164062,72246700
2022-04-12,165.34090892509556,167.1614014854587,163.98290835466773,164.9866485595703,79265200
2022-04-13,164.72093797881234,168.3127321148904,164.11082878699807,167.6829376220703,70618900
2022-04-14,167.8994330781819,168.5390777375964,162.4084052337266,162.6544189453125,75329400
2022-04-18,161.30627040967605,163.9435452353402,160.9618602189061,162.4379425048828,69023900
2022-04-19,162.3887336211493,165.14409017149563,161.2964321500132,164.73077392578125,67723800
2022-04-20,166.06907917381437,166.1871759578773,163.45150487225482,164.5634765625,67929800
2022-04-21,166.21670513338208,168.7949239860417,163.26454063992998,163.7664031982422,87227800
2022-04-22,163.80580088958305,165.19330701919603,158.9248815130789,159.2102508544922,84882400
2022-04-25,158.55092119216803,160.56823674674308,155.9333465615322,160.28286743164062,96046400
2022-04-26,159.66288486961668,159.75144619433357,154.22106324602348,154.29978942871094,95623200
2022-04-27,153.4240064759593,157.24212936237095,152.90245856859522,154.073486328125,88063200
2022-04-28,156.710745963074,161.8967195942573,156.3958411813348,161.03074645996094,130216800
